Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7
Dengue Fever,joint pain,fatigue,muscle pain,high fever,severe headache,,
Asthma,coughing,wheezing,shortness of breath,chest tightness,fatigue,,
Chicken Pox,rash,fever,blisters,,,,
Arthritis,reduced range of motion,joint pain,swelling,warmth in joints,,,
Chicken Pox,fatigue,fever,blisters,,,,
Gastroenteritis,loss of appetite,vomiting,diarrhea,fatigue,nausea,fever,
Common Cold,sneezing,congestion,sore throat,fatigue,runny nose,,
Gastroenteritis,vomiting,fatigue,diarrhea,,,,
Arthritis,swelling,fatigue,reduced range of motion,warmth in joints,joint pain,stiffness,
Measles,rash,fatigue,red eyes,runny nose,sensitivity to light,fever,
Influenza,sore throat,body aches,runny nose,fatigue,chills,cough,fever
COVID-19,loss of taste,fatigue,fever,body aches,shortness of breath,,
Hepatitis B,abdominal pain,vomiting,nausea,jaundice,fatigue,dark urine,joint pain
Chicken Pox,headache,fatigue,rash,loss of appetite,fever,,
Influenza,body aches,runny nose,headache,fatigue,fever,sore throat,
Malaria,fever,chills,fatigue,nausea,,,
Migraine,fatigue,severe headache,nausea,vomiting,sensitivity to sound,sensitivity to light,blurred vision
Asthma,chest tightness,shortness of breath,fatigue,,,,
Gastroenteritis,nausea,loss of appetite,stomach cramps,diarrhea,fatigue,vomiting,fever
Chicken Pox,rash,loss of appetite,itchiness,fatigue,headache,blisters,
COVID-19,loss of taste,cough,fatigue,headache,loss of smell,shortness of breath,fever
Anemia,fatigue,dizziness,cold hands,shortness of breath,chest pain,weakness,
Gastroenteritis,nausea,fever,loss of appetite,diarrhea,,,
Common Cold,cough,congestion,fatigue,mild fever,runny nose,sore throat,
Urinary Tract Infection,burning urination,cloudy urine,chills,fever,pelvic pain,,
COVID-19,fever,shortness of breath,fatigue,headache,,,
Influenza,body aches,chills,fever,fatigue,,,
Malaria,nausea,sweating,headache,chills,muscle pain,fatigue,vomiting
COVID-19,loss of smell,headache,shortness of breath,,,,
Urinary Tract Infection,fever,burning urination,chills,pelvic pain,,,
Common Cold,sore throat,congestion,runny nose,mild fever,,,
Common Cold,mild fever,cough,sore throat,runny nose,fatigue,congestion,
Common Cold,sneezing,mild fever,fatigue,,,,
Anemia,cold hands,pale skin,shortness of breath,,,,
Asthma,wheezing,chest tightness,shortness of breath,fatigue,,,
Arthritis,joint pain,reduced range of motion,fatigue,stiffness,warmth in joints,swelling,
Hypertension,shortness of breath,dizziness,headache,fatigue,nosebleed,,
Malaria,fatigue,muscle pain,vomiting,,,,
Anemia,chest pain,fatigue,cold hands,,,,
Measles,fatigue,red eyes,rash,cough,runny nose,sensitivity to light,fever
Malaria,headache,chills,fever,fatigue,,,
Arthritis,stiffness,warmth in joints,fatigue,swelling,,,
Migraine,vomiting,blurred vision,nausea,sensitivity to light,sensitivity to sound,severe headache,
Urinary Tract Infection,burning urination,fever,pelvic pain,chills,,,
Diabetes,excessive thirst,weight loss,frequent urination,slow healing wounds,numbness in feet,fatigue,
Measles,cough,red eyes,rash,runny nose,,,
Asthma,shortness of breath,fatigue,coughing,,,,
Appendicitis,severe abdominal pain,bloating,nausea,vomiting,fever,,
Hypertension,blurred vision,nosebleed,fatigue,shortness of breath,headache,dizziness,
Hypertension,fatigue,nosebleed,headache,blurred vision,shortness of breath,,
Malaria,fatigue,headache,muscle pain,sweating,,,
Dengue Fever,severe headache,rash,muscle pain,nausea,vomiting,,
Typhoid,headache,weakness,constipation,stomach pain,,,
Dengue Fever,joint pain,muscle pain,severe headache,fatigue,high fever,vomiting,rash
Diabetes,frequent urination,numbness in feet,blurred vision,,,,
Appendicitis,severe abdominal pain,nausea,fever,,,,
Chicken Pox,blisters,rash,headache,fatigue,fever,,
Tuberculosis,night sweats,chest pain,fever,coughing up blood,,,
Anemia,pale skin,weakness,cold hands,chest pain,fatigue,shortness of breath,
Pneumonia,fatigue,chills,rapid breathing,cough,shortness of breath,fever,chest pain
Anemia,cold hands,fatigue,weakness,,,,
Pneumonia,chills,cough,shortness of breath,fever,,,
Typhoid,loss of appetite,high fever,constipation,stomach pain,headache,,
Urinary Tract Infection,pelvic pain,burning urination,frequent urination,chills,fever,,
COVID-19,shortness of breath,cough,fever,body aches,,,
Gastroenteritis,nausea,diarrhea,fatigue,stomach cramps,vomiting,,
Typhoid,weakness,stomach pain,diarrhea,,,,
Measles,rash,runny nose,sensitivity to light,fever,cough,fatigue,red eyes
Diabetes,excessive thirst,fatigue,blurred vision,,,,
Anemia,dizziness,weakness,fatigue,shortness of breath,chest pain,pale skin,cold hands
Urinary Tract Infection,cloudy urine,fever,frequent urination,burning urination,,,
Migraine,vomiting,blurred vision,fatigue,sensitivity to sound,sensitivity to light,severe headache,nausea
Anemia,dizziness,chest pain,weakness,shortness of breath,fatigue,cold hands,
Typhoid,rash,constipation,diarrhea,high fever,weakness,loss of appetite,
Chicken Pox,blisters,itchiness,headache,fever,fatigue,loss of appetite,
Hepatitis B,jaundice,nausea,vomiting,,,,
Common Cold,fatigue,sneezing,congestion,cough,runny nose,sore throat,
Appendicitis,fever,loss of appetite,severe abdominal pain,,,,
Asthma,chest tightness,shortness of breath,coughing,fatigue,wheezing,,
Malaria,chills,sweating,headache,vomiting,fever,,
Common Cold,fatigue,cough,mild fever,congestion,sneezing,runny nose,
COVID-19,shortness of breath,loss of taste,headache,cough,fever,fatigue,loss of smell
Arthritis,fatigue,joint pain,warmth in joints,swelling,stiffness,reduced range of motion,
Arthritis,reduced range of motion,fatigue,swelling,warmth in joints,,,
Dengue Fever,fatigue,nausea,muscle pain,joint pain,rash,vomiting,high fever
Malaria,headache,vomiting,fatigue,chills,nausea,sweating,
Gastroenteritis,fatigue,diarrhea,fever,vomiting,loss of appetite,nausea,
Migraine,nausea,severe headache,sensitivity to sound,vomiting,sensitivity to light,,
Migraine,fatigue,sensitivity to light,nausea,vomiting,,,
Anemia,pale skin,cold hands,shortness of breath,weakness,fatigue,chest pain,dizziness
Common Cold,mild fever,cough,congestion,,,,
Influenza,runny nose,sore throat,cough,body aches,headache,chills,fatigue
Arthritis,stiffness,joint pain,swelling,,,,
Diabetes,excessive thirst,slow healing wounds,blurred vision,fatigue,,,
Malaria,nausea,headache,fatigue,sweating,vomiting,muscle pain,chills
Asthma,chest tightness,coughing,shortness of breath,wheezing,,,
Hepatitis B,dark urine,nausea,abdominal pain,jaundice,,,
Urinary Tract Infection,frequent urination,chills,cloudy urine,fever,burning urination,pelvic pain,
Measles,rash,fatigue,cough,runny nose,sensitivity to light,fever,
Arthritis,fatigue,reduced range of motion,swelling,joint pain,stiffness,,
Appendicitis,severe abdominal pain,nausea,bloating,,,,
Typhoid,rash,diarrhea,headache,,,,
Urinary Tract Infection,cloudy urine,chills,frequent urination,fever,pelvic pain,burning urination,
Influenza,runny nose,cough,body aches,chills,sore throat,fever,fatigue
Diabetes,frequent urination,excessive thirst,weight loss,,,,
Measles,runny nose,cough,fever,rash,fatigue,red eyes,sensitivity to light
Migraine,blurred vision,fatigue,sensitivity to light,,,,
Asthma,fatigue,wheezing,chest tightness,shortness of breath,coughing,,
Urinary Tract Infection,chills,pelvic pain,fever,burning urination,frequent urination,cloudy urine,
Gastroenteritis,nausea,loss of appetite,vomiting,,,,
Urinary Tract Infection,pelvic pain,chills,burning urination,frequent urination,cloudy urine,,
Asthma,coughing,chest tightness,wheezing,,,,
Tuberculosis,night sweats,weight loss,fever,coughing up blood,chest pain,persistent cough,fatigue
Gastroenteritis,vomiting,loss of appetite,nausea,fatigue,stomach cramps,,
COVID-19,loss of smell,cough,fatigue,fever,,,
Dengue Fever,vomiting,nausea,high fever,muscle pain,,,
Pneumonia,shortness of breath,chills,chest pain,,,,
Migraine,severe headache,vomiting,sensitivity to sound,,,,
Urinary Tract Infection,fever,frequent urination,chills,,,,
Diabetes,excessive thirst,numbness in feet,weight loss,frequent urination,slow healing wounds,,
Common Cold,sore throat,fatigue,congestion,cough,sneezing,mild fever,
Urinary Tract Infection,frequent urination,cloudy urine,burning urination,chills,fever,pelvic pain,
Chicken Pox,blisters,headache,loss of appetite,itchiness,fatigue,fever,
Influenza,cough,sore throat,runny nose,fever,body aches,,
Tuberculosis,coughing up blood,fatigue,fever,night sweats,persistent cough,chest pain,weight loss
Tuberculosis,chest pain,coughing up blood,night sweats,weight loss,persistent cough,fatigue,
Arthritis,joint pain,stiffness,warmth in joints,reduced range of motion,swelling,fatigue,
Measles,cough,sensitivity to light,red eyes,rash,fever,fatigue,
Common Cold,mild fever,runny nose,sore throat,fatigue,congestion,cough,sneezing
Measles,rash,cough,red eyes,fever,runny nose,fatigue,sensitivity to light
Urinary Tract Infection,frequent urination,fever,chills,,,,
Measles,cough,red eyes,fever,rash,fatigue,,
Gastroenteritis,stomach cramps,loss of appetite,fatigue,nausea,diarrhea,fever,
Arthritis,swelling,warmth in joints,stiffness,reduced range of motion,fatigue,,
Measles,rash,runny nose,sensitivity to light,,,,
Migraine,sensitivity to sound,nausea,fatigue,,,,
Hepatitis B,vomiting,abdominal pain,nausea,joint pain,fatigue,,
Migraine,sensitivity to sound,blurred vision,sensitivity to light,severe headache,nausea,fatigue,vomiting
Measles,cough,rash,sensitivity to light,red eyes,fatigue,runny nose,fever
Chicken Pox,itchiness,loss of appetite,fever,fatigue,blisters,headache,
Hypertension,fatigue,nosebleed,dizziness,,,,
Arthritis,stiffness,joint pain,warmth in joints,,,,
Measles,rash,sensitivity to light,cough,runny nose,fever,red eyes,
Diabetes,weight loss,numbness in feet,slow healing wounds,excessive thirst,,,
Gastroenteritis,nausea,vomiting,fever,,,,
Arthritis,reduced range of motion,swelling,joint pain,fatigue,stiffness,,
Influenza,headache,fever,sore throat,runny nose,body aches,cough,fatigue
Hepatitis B,joint pain,vomiting,jaundice,abdominal pain,,,
Measles,rash,red eyes,sensitivity to light,fatigue,fever,,
Influenza,cough,headache,fatigue,sore throat,chills,body aches,
Dengue Fever,fatigue,nausea,muscle pain,joint pain,vomiting,,
Appendicitis,loss of appetite,severe abdominal pain,nausea,,,,
Influenza,sore throat,fever,fatigue,,,,
Chicken Pox,headache,blisters,itchiness,loss of appetite,fatigue,fever,rash
Chicken Pox,itchiness,fatigue,headache,loss of appetite,fever,blisters,
Influenza,body aches,chills,sore throat,fatigue,runny nose,,
Pneumonia,chest pain,fever,chills,shortness of breath,cough,fatigue,rapid breathing
Hepatitis B,abdominal pain,joint pain,nausea,jaundice,vomiting,,
Tuberculosis,fever,fatigue,chest pain,persistent cough,,,
Pneumonia,chest pain,shortness of breath,rapid breathing,chills,fever,cough,
Common Cold,congestion,mild fever,sore throat,,,,
Pneumonia,chills,chest pain,shortness of breath,,,,
Appendicitis,loss of appetite,bloating,vomiting,fever,severe abdominal pain,nausea,
Pneumonia,chills,shortness of breath,chest pain,fatigue,,,
Pneumonia,fever,rapid breathing,chest pain,cough,chills,shortness of breath,fatigue
Hypertension,dizziness,nosebleed,shortness of breath,,,,
Arthritis,stiffness,warmth in joints,joint pain,,,,
Hepatitis B,jaundice,joint pain,abdominal pain,,,,
Hypertension,chest pain,dizziness,fatigue,nosebleed,blurred vision,headache,
Gastroenteritis,vomiting,diarrhea,fatigue,,,,
Urinary Tract Infection,frequent urination,chills,cloudy urine,burning urination,pelvic pain,fever,
Dengue Fever,joint pain,rash,nausea,muscle pain,fatigue,vomiting,severe headache
COVID-19,shortness of breath,loss of smell,headache,body aches,cough,,
Pneumonia,chest pain,fever,shortness of breath,,,,
Gastroenteritis,vomiting,nausea,diarrhea,stomach cramps,fatigue,loss of appetite,
Influenza,fatigue,runny nose,headache,fever,,,
Asthma,chest tightness,wheezing,shortness of breath,coughing,fatigue,,
Appendicitis,fever,loss of appetite,vomiting,,,,
Measles,rash,fever,fatigue,cough,red eyes,sensitivity to light,
Gastroenteritis,loss of appetite,fatigue,diarrhea,stomach cramps,vomiting,,
Malaria,vomiting,nausea,fatigue,chills,muscle pain,sweating,fever
Appendicitis,fever,nausea,bloating,loss of appetite,vomiting,,
Malaria,muscle pain,nausea,vomiting,sweating,fatigue,,
Tuberculosis,fever,night sweats,persistent cough,,,,
Typhoid,weakness,constipation,diarrhea,high fever,,,
Dengue Fever,rash,fatigue,high fever,,,,
Chicken Pox,blisters,itchiness,fatigue,headache,loss of appetite,,
Migraine,sensitivity to light,severe headache,blurred vision,vomiting,,,
Migraine,sensitivity to sound,blurred vision,nausea,fatigue,vomiting,sensitivity to light,severe headache
Measles,rash,red eyes,fatigue,fever,cough,sensitivity to light,
Dengue Fever,joint pain,fatigue,nausea,muscle pain,vomiting,high fever,rash
Arthritis,reduced range of motion,joint pain,stiffness,,,,
Tuberculosis,chest pain,coughing up blood,persistent cough,night sweats,fatigue,,
Hypertension,headache,nosebleed,shortness of breath,fatigue,dizziness,blurred vision,
Common Cold,sore throat,sneezing,mild fever,fatigue,congestion,,
Influenza,fever,runny nose,fatigue,sore throat,chills,,
Typhoid,stomach pain,headache,weakness,,,,
Arthritis,stiffness,warmth in joints,swelling,,,,
Common Cold,sneezing,runny nose,mild fever,fatigue,cough,,
COVID-19,shortness of breath,body aches,fatigue,loss of smell,loss of taste,cough,
Urinary Tract Infection,chills,pelvic pain,cloudy urine,frequent urination,burning urination,fever,
Migraine,severe headache,fatigue,vomiting,blurred vision,nausea,,
Malaria,sweating,chills,vomiting,fever,nausea,fatigue,
Gastroenteritis,fever,stomach cramps,nausea,,,,
Influenza,headache,sore throat,body aches,,,,
Urinary Tract Infection,burning urination,frequent urination,pelvic pain,chills,fever,,
COVID-19,body aches,loss of smell,shortness of breath,fever,loss of taste,fatigue,cough
Tuberculosis,chest pain,fever,weight loss,persistent cough,fatigue,night sweats,
Common Cold,sneezing,congestion,cough,mild fever,,,
Urinary Tract Infection,chills,fever,frequent urination,,,,
Anemia,chest pain,dizziness,fatigue,weakness,pale skin,cold hands,
Tuberculosis,persistent cough,fever,chest pain,coughing up blood,night sweats,weight loss,
Arthritis,stiffness,reduced range of motion,fatigue,joint pain,swelling,warmth in joints,
Gastroenteritis,diarrhea,stomach cramps,nausea,vomiting,,,
Influenza,runny nose,body aches,fever,cough,sore throat,,
Malaria,headache,muscle pain,nausea,,,,
Asthma,chest tightness,fatigue,wheezing,,,,
Typhoid,loss of appetite,headache,stomach pain,weakness,high fever,,
Arthritis,swelling,fatigue,stiffness,,,,
Gastroenteritis,loss of appetite,fever,vomiting,nausea,diarrhea,stomach cramps,
Gastroenteritis,nausea,stomach cramps,diarrhea,fatigue,vomiting,loss of appetite,fever
Tuberculosis,fever,fatigue,weight loss,chest pain,persistent cough,night sweats,coughing up blood
Common Cold,sneezing,mild fever,fatigue,congestion,cough,,
Diabetes,weight loss,numbness in feet,frequent urination,,,,
Asthma,chest tightness,shortness of breath,coughing,,,,
Chicken Pox,itchiness,loss of appetite,fatigue,,,,
COVID-19,loss of taste,cough,body aches,,,,
Tuberculosis,night sweats,persistent cough,coughing up blood,chest pain,,,
Appendicitis,fever,severe abdominal pain,nausea,vomiting,bloating,,
Gastroenteritis,diarrhea,fever,fatigue,vomiting,nausea,,
Hypertension,dizziness,shortness of breath,fatigue,nosebleed,chest pain,,
Urinary Tract Infection,fever,pelvic pain,chills,,,,
Asthma,wheezing,coughing,shortness of breath,chest tightness,,,
Malaria,fatigue,chills,muscle pain,nausea,headache,vomiting,sweating
Hypertension,fatigue,blurred vision,chest pain,headache,nosebleed,dizziness,shortness of breath
Gastroenteritis,loss of appetite,fever,stomach cramps,fatigue,diarrhea,,
Migraine,sensitivity to light,vomiting,blurred vision,nausea,fatigue,,
Malaria,fatigue,headache,fever,nausea,,,
Chicken Pox,headache,fever,itchiness,,,,
Hepatitis B,fatigue,joint pain,abdominal pain,,,,
Hypertension,fatigue,shortness of breath,blurred vision,chest pain,headache,,
Hepatitis B,vomiting,jaundice,fatigue,nausea,joint pain,,
Common Cold,cough,congestion,fatigue,mild fever,sneezing,sore throat,runny nose
Urinary Tract Infection,frequent urination,burning urination,chills,pelvic pain,cloudy urine,fever,
Gastroenteritis,nausea,loss of appetite,diarrhea,fever,vomiting,fatigue,stomach cramps
Typhoid,headache,constipation,weakness,high fever,diarrhea,stomach pain,
COVID-19,shortness of breath,loss of taste,headache,fatigue,,,
Anemia,chest pain,dizziness,fatigue,cold hands,shortness of breath,,
Measles,rash,red eyes,sensitivity to light,fatigue,,,
COVID-19,cough,loss of smell,shortness of breath,body aches,,,
